Team Name,Region,CSL Link,Series Record,Series Wins,Series Losses,Game Record,Game Wins,Game Losses,Average Rank,Average Rank Number,First OP.GG,Second OP.GG
Hofstra Esports Blue,North-east | 6,https://cstarleague.com/lol/teams/11436,5 - 1,5,1,11 - 3,11,3,Gold 2,15.0,"https://na.op.gg/multi/query=adami28,Spawns,0rcus,LancerFourK,mantoe,badboykilleraz,AmerZZZ,",
Peanut Butter and Jealous,North-east | 6,https://cstarleague.com/lol/teams/11093,5 - 1,5,1,10 - 3,10,3,Platinum 3,18.0,"https://na.op.gg/multi/query=McSlap,Pyfernix,Project Requiem,roastporkfon,FrostyIguana,Yanney,InfernalEternity,ACherryBlossom,SniffNinja,ShameOnYu,",
NYU YELLOW,North-east | 6,https://cstarleague.com/lol/teams/10450,4 - 1,4,1,8 - 2,8,2,Platinum 2,19.0,"https://na.op.gg/multi/query=Celestial Sable,Ari1a,Celestial Marten,GGfm,Lunart,YukasControlWard,z inevitable,Lord of T3h Ring,I am at Soup,",
NYU RED,North-east | 6,https://cstarleague.com/lol/teams/11485,4 - 2,4,2,8 - 4,8,4,Platinum 4,17.0,"https://na.op.gg/multi/query=Sylveke,TiIted PIayer,Gogi Bibimbap,Kudos0330,problemgg,joe0910,Junihae,",
Quantum Quacks,North-east | 6,https://cstarleague.com/lol/teams/10650,3 - 2,3,2,6 - 4,6,4,Gold 2,15.0,"https://na.op.gg/multi/query=Sushi Order No3,QuackTheDucklord,Ceraron,Jonginnie,RoosterAction,Happypro,S1asther,",
 Guy Gamer Fierce Unity,North-east | 6,https://cstarleague.com/lol/teams/10475,2 - 3,2,3,5 - 7,5,7,Gold 2,15.0,"https://na.op.gg/multi/query=KEVIN LI SPECIAL,RocktheWorlds,AlanaMeHarder,L9 Caps,FlameSlays,NitroDaleAJ,Cinci,",
HWS Esports,North-east | 6,https://cstarleague.com/lol/teams/11028,1 - 3,1,3,3 - 6,3,6,Gold 1,16.0,"https://na.op.gg/multi/query=wickedwidget,I Am Sno,Okury,Ezio Audítore,Top For Janna,My Router Sucks,",
Silver Knights,North-east | 6,https://cstarleague.com/lol/teams/11510,1 - 2,1,2,2 - 4,2,4,Silver 2,11.0,"https://na.op.gg/multi/query=Psytherea,yeahhhitsalex,Joseraph,HamPieTaco,SolidMouse,Sardinas,AHeroWhoSaves,Chaos lord 2,Serious Flak,CentipedeKid,","https://na.op.gg/multi/query=Blaster360,"
NYU ORANGE,North-east | 6,https://cstarleague.com/lol/teams/11487,1 - 3,1,3,2 - 6,2,6,Gold 3,14.0,"https://na.op.gg/multi/query=4boh,DiabetesXplosion,Sylveke,Bwildy,The Mystery Van,bobthesneil,ccmachine,Otamot,",
SUNY Albany Insane Danes,North-east | 6,https://cstarleague.com/lol/teams/2693,0 - 5,0,5,0 - 10,0,10,Bronze 3,6.0,"https://na.op.gg/multi/query=Wolfenmanjenson,xstunnning,shsh123,Pois0n,TUCANA DOGANA,I never ward,Head Coach BJD,",
