name,team,region,rank,rankValue,op.gg
1 minute,Alma College Varsity,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=1 minute
Inuke73,Alma College Varsity,North-east | 2,Platinum 3,18,https://na.op.gg/summoner/userName=Inuke73
NubiiNeth,Alma College Varsity,North-east | 2,Silver 3,10,https://na.op.gg/summoner/userName=NubiiNeth
Shyfron,Alma College Varsity,North-east | 2,Diamond 3,22,https://na.op.gg/summoner/userName=Shyfron
Mønty,Alma College Varsity,North-east | 2,Gold 3,14,https://na.op.gg/summoner/userName=Mønty
Pink Caboose,Alma College Varsity,North-east | 2,Gold 3,14,https://na.op.gg/summoner/userName=Pink Caboose
Lord Sazuri,Wayne Warriors - Green,North-east | 2,Unranked,0,https://na.op.gg/summoner/userName=Lord Sazuri
Avrofosho,Wayne Warriors - Green,North-east | 2,Gold 4,13,https://na.op.gg/summoner/userName=Avrofosho
Tape,Wayne Warriors - Green,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=Tape
Tokkkul,Wayne Warriors - Green,North-east | 2,Platinum 3,18,https://na.op.gg/summoner/userName=Tokkkul
Rubbish Talon,Wayne Warriors - Green,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=Rubbish Talon
Icarrus45,Wayne Warriors - Green,North-east | 2,Gold 2,15,https://na.op.gg/summoner/userName=Icarrus45
KingRoli,Wayne Warriors - Green,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=KingRoli
BULGOGI BOYZ,Wayne Warriors - Green,North-east | 2,Gold 2,15,https://na.op.gg/summoner/userName=BULGOGI BOYZ
SniffohGod,Wayne Warriors - Green,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=SniffohGod
TV0,Wayne Warriors - Green,North-east | 2,Diamond 3,22,https://na.op.gg/summoner/userName=TV0
The Cleaner,Wayne Warriors - Green,North-east | 2,Platinum 3,18,https://na.op.gg/summoner/userName=The Cleaner
51020Sioux48042,Wayne Warriors - Green,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=51020Sioux48042
Tekoya,Wayne Warriors - Green,North-east | 2,Platinum 1,20,https://na.op.gg/summoner/userName=Tekoya
Deafen,MUwU,North-east | 2,Unranked,0,https://na.op.gg/summoner/userName=Deafen
Doing His Job,MUwU,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=Doing His Job
Danielson524,MUwU,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=Danielson524
Voltaire,MUwU,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=Voltaire
Elemanten,MUwU,North-east | 2,Diamond 3,22,https://na.op.gg/summoner/userName=Elemanten
Artails1,MUES JV C,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=Artails1
Hickit,MUES JV C,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=Hickit
Katfished,MUES JV C,North-east | 2,Unranked,0,https://na.op.gg/summoner/userName=Katfished
Japanda88,MUES JV C,North-east | 2,Platinum 3,18,https://na.op.gg/summoner/userName=Japanda88
Leché,MUES JV C,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=Leché
Keleros the dk,MUES JV C,North-east | 2,Gold 1,16,https://na.op.gg/summoner/userName=Keleros the dk
Weetpoppy,MUES JV C,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=Weetpoppy
malfeasance,Notre Dame JV A,North-east | 1,Platinum 2,19,https://na.op.gg/summoner/userName=malfeasance
Smarkon,Notre Dame JV A,North-east | 1,Diamond 4,21,https://na.op.gg/summoner/userName=Smarkon
Mr Meeseek,Notre Dame JV A,North-east | 1,Platinum 3,18,https://na.op.gg/summoner/userName=Mr Meeseek
Wearin Sweats,Notre Dame JV B,North-east | 1,Platinum 3,18,https://na.op.gg/summoner/userName=Wearin Sweats
JackMcgRocks,Notre Dame JV A,North-east | 1,Platinum 2,19,https://na.op.gg/summoner/userName=JackMcgRocks
MrKiwiism,Akron Zips Club Diamond,North-east | 1,Diamond 3,22,https://na.op.gg/summoner/userName=MrKiwiism
Le Roi,Akron Zips Club Diamond,North-east | 1,Diamond 4,21,https://na.op.gg/summoner/userName=Le Roi
Maltier,Akron Zips Club Diamond,North-east | 1,Platinum 4,17,https://na.op.gg/summoner/userName=Maltier
Sloppy Joe,Akron Zips Club Diamond,North-east | 1,Platinum 1,20,https://na.op.gg/summoner/userName=Sloppy Joe
HiddenNinja,Akron Zips Club Diamond,North-east | 1,Diamond 4,21,https://na.op.gg/summoner/userName=HiddenNinja
Awesominator54,Akron Zips Club Diamond,North-east | 1,Platinum 4,17,https://na.op.gg/summoner/userName=Awesominator54
BrotherKingYugo,Akron Zips Club Diamond,North-east | 1,Gold 4,13,https://na.op.gg/summoner/userName=BrotherKingYugo
Kyancer,Akron Zips Club Diamond,North-east | 1,Diamond 4,21,https://na.op.gg/summoner/userName=Kyancer
moonssang,Akron Zips Club Diamond,North-east | 1,Gold 3,14,https://na.op.gg/summoner/userName=moonssang
dagda914,Akron Zips Club Diamond,North-east | 1,Diamond 4,21,https://na.op.gg/summoner/userName=dagda914
Overlimitless,Akron Zips Club Diamond,North-east | 1,Diamond 4,21,https://na.op.gg/summoner/userName=Overlimitless
FlG,Goshen College Leaf League,North-east | 1,Gold 1,16,https://na.op.gg/summoner/userName=FlG
Agnifaniii,Goshen College Leaf League,North-east | 1,Gold 2,15,https://na.op.gg/summoner/userName=Agnifaniii
Polwygle,Goshen College Leaf League,North-east | 1,Platinum 3,18,https://na.op.gg/summoner/userName=Polwygle
MountainGoose,Goshen College Leaf League,North-east | 1,Gold 1,16,https://na.op.gg/summoner/userName=MountainGoose
Joshmasa99,Goshen College Leaf League,North-east | 1,Silver 1,12,https://na.op.gg/summoner/userName=Joshmasa99
Atovox,Goshen College Leaf League,North-east | 1,Gold 4,13,https://na.op.gg/summoner/userName=Atovox
Asenjo17,Goshen College Leaf League,North-east | 1,Diamond 4,21,https://na.op.gg/summoner/userName=Asenjo17
IxDe,Goshen College Leaf League,North-east | 1,Gold 2,15,https://na.op.gg/summoner/userName=IxDe
M1k3d4nm4n,SVU Knights Open,North-east | 1,Unranked,0,https://na.op.gg/summoner/userName=M1k3d4nm4n
Psiren,SVU Knights Open,North-east | 1,Unranked,0,https://na.op.gg/summoner/userName=Psiren
TheDoltishDingo,SVU Knights Open,North-east | 1,Unranked,0,https://na.op.gg/summoner/userName=TheDoltishDingo
SøulSmîth,SVU Knights Open,North-east | 1,Silver 3,10,https://na.op.gg/summoner/userName=SøulSmîth
Vagüe,SVU Knights Open,North-east | 1,Gold 1,16,https://na.op.gg/summoner/userName=Vagüe
Halzyon,SVU Knights Open,North-east | 1,Silver 3,10,https://na.op.gg/summoner/userName=Halzyon
Althron,SVU Knights Open,North-east | 1,Gold 4,13,https://na.op.gg/summoner/userName=Althron
HoneyTbone,SVU Knights Open,North-east | 1,Gold 4,13,https://na.op.gg/summoner/userName=HoneyTbone
Luckur,NKU Esports B,North-east | 1,Gold 4,13,https://na.op.gg/summoner/userName=Luckur
Montoon,NKU Esports B,North-east | 1,Diamond 1,24,https://na.op.gg/summoner/userName=Montoon
Devilish Loli,NKU Esports B,North-east | 1,Gold 2,15,https://na.op.gg/summoner/userName=Devilish Loli
PrivateWong,NKU Esports B,North-east | 1,Gold 3,14,https://na.op.gg/summoner/userName=PrivateWong
The Jeek,NKU Esports B,North-east | 1,Platinum 4,17,https://na.op.gg/summoner/userName=The Jeek
KnightofUmbar,NKU Esports B,North-east | 1,Platinum 1,20,https://na.op.gg/summoner/userName=KnightofUmbar
Fibulator,NKU Esports B,North-east | 1,Gold 2,15,https://na.op.gg/summoner/userName=Fibulator
Ronexiaz,NKU Esports B,North-east | 1,Gold 2,15,https://na.op.gg/summoner/userName=Ronexiaz
Towd47,Malefic Visions,North-east | 1,Diamond 3,22,https://na.op.gg/summoner/userName=Towd47
Hiratechi,Malefic Visions,North-east | 1,Diamond 1,24,https://na.op.gg/summoner/userName=Hiratechi
lil kahuna,Malefic Visions,North-east | 1,Platinum 1,20,https://na.op.gg/summoner/userName=lil kahuna
helper08,Malefic Visions,North-east | 1,Diamond 4,21,https://na.op.gg/summoner/userName=helper08
ok that was epic,Malefic Visions,North-east | 1,Platinum 1,20,https://na.op.gg/summoner/userName=ok that was epic
KartGu,Malefic Visions,North-east | 1,Diamond 2,23,https://na.op.gg/summoner/userName=KartGu
sammystinky,Malefic Visions,North-east | 1,Diamond 2,23,https://na.op.gg/summoner/userName=sammystinky
Digimonlove,Malefic Visions,North-east | 1,Diamond 3,22,https://na.op.gg/summoner/userName=Digimonlove
SSFTrunks,CU Esports - LoL,North-east | 1,Unranked,0,https://na.op.gg/summoner/userName=SSFTrunks
The Beastar,CU Esports - LoL,North-east | 1,Gold 3,14,https://na.op.gg/summoner/userName=The Beastar
Sunnymight,CU Esports - LoL,North-east | 1,Gold 4,13,https://na.op.gg/summoner/userName=Sunnymight
Karmotrine,CU Esports - LoL,North-east | 1,Platinum 2,19,https://na.op.gg/summoner/userName=Karmotrine
Riggatoni,CU Esports - LoL,North-east | 1,Gold 4,13,https://na.op.gg/summoner/userName=Riggatoni
Sarlala,CU Esports - LoL,North-east | 1,Gold 2,15,https://na.op.gg/summoner/userName=Sarlala
AshtonArg,CU Esports - LoL,North-east | 1,Silver 3,10,https://na.op.gg/summoner/userName=AshtonArg
Daddyy B,CU Esports - LoL,North-east | 1,Silver 1,12,https://na.op.gg/summoner/userName=Daddyy B
pingky,WLU LoL,North-east | 1,Diamond 2,23,https://na.op.gg/summoner/userName=pingky
Roonrock,WLU LoL,North-east | 1,Platinum 1,20,https://na.op.gg/summoner/userName=Roonrock
InheritanceLight,WLU LoL,North-east | 1,Unranked,0,https://na.op.gg/summoner/userName=InheritanceLight
BoomZter,WLU LoL,North-east | 1,Platinum 1,20,https://na.op.gg/summoner/userName=BoomZter
Anthony Crowley,WLU LoL,North-east | 1,Silver 4,9,https://na.op.gg/summoner/userName=Anthony Crowley
Excited0101,WLU LoL,North-east | 1,Unranked,0,https://na.op.gg/summoner/userName=Excited0101
hp73,WLU LoL,North-east | 1,Platinum 4,17,https://na.op.gg/summoner/userName=hp73
