teamName,region,link,rank,rankValue,seriesWins,seriesLosses,gameWins,gameLosses,rank5,rank5Value,playerList,opgg1,opgg2
UD VGTC JV Team,North-east | 3,/lol/teams/6529,Diamond 4,21,4,1,8,3,Diamond 3,22,"['IntoTheDusk', 'Dayuni', 'Kingkyu24', 'DontTiltWeScale', 'XxFaZecLaNxX69', 'Ceige', 'MIDestinydo', 'WilliLove']","https://na.op.gg/multi/query=IntoTheDusk,Dayuni,Kingkyu24,DontTiltWeScale,XxFaZecLaNxX69,Ceige,MIDestinydo,WilliLove,",https://na.op.gg/multi/query=
Green Lightning,North-east | 3,/lol/teams/10696,Platinum 4,17,3,2,6,4,Platinum 3,18,"['theasianflare', 'nickcaponee', 'Rangers088', 'Tempus', 'White Wings12', 'Backing']","https://na.op.gg/multi/query=theasianflare,nickcaponee,Rangers088,Tempus,White Wings12,Backing,",https://na.op.gg/multi/query=
Esports Milwaukee Varsity,North-east | 3,/lol/teams/9291,Silver 1,12,3,2,6,4,Silver 3,10,"['Sen7', 'Heelwax', 'FortuneNate', 'Gohnja', 'HairySchu', 'Simba Strength', 'im pog', 'Próject Jinx', 'OscieB', 'Laning Cat']","https://na.op.gg/multi/query=Sen7,Heelwax,FortuneNate,Gohnja,HairySchu,Simba Strength,im pog,Próject Jinx,OscieB,Laning Cat,",https://na.op.gg/multi/query=
Esports Milwaukee JV,North-east | 3,/lol/teams/9292,Gold 3,14,3,3,6,6,Platinum 3,18,"['Sen7', 'Heelwax', 'eSpadess', 'Gohnja', 'Lûkas', 'Simba Strength', 'Próject Jinx', 'OscieB', 'EggySonic']","https://na.op.gg/multi/query=Sen7,Heelwax,eSpadess,Gohnja,Lûkas,Simba Strength,Próject Jinx,OscieB,EggySonic,",https://na.op.gg/multi/query=
Towson Underdogs,North-east | 3,/lol/teams/11282,Gold 2,15,2,5,4,10,Platinum 4,17,"['bite454', 'Land0n', 'Dinoslashz', 'Omega Nox', 'PlatedPaladin', 'cloutdreams', 'HmmmmWaitDuh', 'EliteToxicDeath']","https://na.op.gg/multi/query=bite454,Land0n,Dinoslashz,Omega Nox,PlatedPaladin,cloutdreams,HmmmmWaitDuh,EliteToxicDeath,",https://na.op.gg/multi/query=
Barbie and the Kens,North-east | 3,/lol/teams/11108,Platinum 3,18,1,3,4,7,Platinum 1,20,"['Øctave', 'Dairy Queen', 'Wolfenite', 'thank you sorry', 'feifire', 'Sanddome', 'Nalgi', 'Spudry']","https://na.op.gg/multi/query=Øctave,Dairy Queen,Wolfenite,thank you sorry,feifire,Sanddome,Nalgi,Spudry,",https://na.op.gg/multi/query=
TCNJ CGC Team Two,North-east | 3,/lol/teams/2932,Silver 3,10,1,4,2,8,Platinum 3,18,"['Unfest', 'BLeever', 'Mysteryward1', 'IWontDominate17', 'r0shm0sh', 'Matt Park', 'Lolí', 'Prídé', 'ATP19', 'veggieboy', 'DarkEnergyFlux', 'Yadomi jinta', 'HierophantGreens', 'HydroNAMIac', 'sparkey705', 'HLX Nightmare', 'RAPdawg530', 'hogeon', 'Eliann', 'scrfed', 'Kyouka09', 'Pocket Support']","https://na.op.gg/multi/query=Unfest,BLeever,Mysteryward1,IWontDominate17,r0shm0sh,Matt Park,Lolí,Prídé,ATP19,veggieboy,","https://na.op.gg/multi/query=DarkEnergyFlux,Yadomi jinta,HierophantGreens,HydroNAMIac,sparkey705,HLX Nightmare,RAPdawg530,hogeon,Eliann,scrfed,Kyouka09,Pocket Support,"
Sole A Team of Johns Hopkins,North-east | 3,/lol/teams/9305,Gold 2,15,1,3,2,7,Platinum 2,19,"['FlamingTurtle', 'LethargicShrew00', 'Akainote', 'Dangos', 'DKDKDKDKDKDKDK', 'ACS Drixitup', 'UItraviolence']","https://na.op.gg/multi/query=FlamingTurtle,LethargicShrew00,Akainote,Dangos,DKDKDKDKDKDKDK,ACS Drixitup,UItraviolence,",https://na.op.gg/multi/query=
Johns Hopkins Bluejays,North-east | 3,/lol/teams/11509,Gold 1,16,0,12,0,24,Platinum 2,19,"['25th Sol', 'Nytesdawn', 'The Wòlf', 'Rixi', 'idrivecar', 'Cornhustler']","https://na.op.gg/multi/query=25th Sol,Nytesdawn,The Wòlf,Rixi,idrivecar,Cornhustler,",https://na.op.gg/multi/query=
MESC JV I Cee,North-east | 2,/lol/teams/10043,Diamond 4,21,6,0,12,1,Diamond 3,22,"['Dabbing Dad', 'DuhChappers', 'Newb the Legend', 'Dyego', 'Jeanne fan club', 'Happi Feet', 'Erikkun', 'Nîer 2b', 'PieLyfe']","https://na.op.gg/multi/query=Dabbing Dad,DuhChappers,Newb the Legend,Dyego,Jeanne fan club,Happi Feet,Erikkun,Nîer 2b,PieLyfe,",https://na.op.gg/multi/query=
MESC JV I B,North-east | 2,/lol/teams/6909,Diamond 4,21,4,1,9,2,Diamond 3,22,"['Mikę', 'Dyego', 'iCarpenter', 'Arthwook', 'Wholy Bagel', 'Lagging Support', 'Qube']","https://na.op.gg/multi/query=Mikę,Dyego,iCarpenter,Arthwook,Wholy Bagel,Lagging Support,Qube,",https://na.op.gg/multi/query=
