teamName,region,link,rank,rankValue,seriesWins,seriesLosses,gameWins,gameLosses,rank5,rank5Value,playerList,opgg1,opgg2
LOLUTD D,West 7,/lol/teams/7195,Silver 3,10,2,4,5,8,Gold 2,15,"['will win', 'DinkyKong', 'clövër', 'Rip00', 'lordzeref123', 'SomexJames', 'BeastFromDuhEast', 'SurfinIrfin', 'San Holo Dies', 'Butternutthepony']","https://na.op.gg/multi/query=will win,DinkyKong,clövër,Rip00,lordzeref123,SomexJames,BeastFromDuhEast,SurfinIrfin,San Holo Dies,Butternutthepony,",https://na.op.gg/multi/query=
Morganites,East 2,/lol/teams/5780,Gold 4,13,7,0,14,0,Gold 1,16,"['KidRobin', 'CatacombKid', 'The Mortal Blade', 'XSuperJustin', 'WB Nightmare', 'Your Move']","https://na.op.gg/multi/query=KidRobin,CatacombKid,The Mortal Blade,XSuperJustin,WB Nightmare,Your Move,",https://na.op.gg/multi/query=
UAT Esports,West 6,/lol/teams/7111,Iron 1,4,3,3,7,6,Bronze 3,6,"['Pixel', 'l Elements l', 'Avidity', 'Dolphina7', 'XxfireXxhoundXx', 'Hypeg', 'Frowosty', 'ggsnack', 'theepic321']","https://na.op.gg/multi/query=Pixel,l Elements l,Avidity,Dolphina7,XxfireXxhoundXx,Hypeg,Frowosty,ggsnack,theepic321,",https://na.op.gg/multi/query=
University of Houston Black,West 8,/lol/teams/6815,Bronze 2,7,4,2,9,5,Silver 1,12,"['jqh135', 'Rioklu', 'Samgee Gamwise', 'Gumbers', 'Thot Wrecker', 'junged', 'Frankeeeflip', 'DownDaBarrel', 'DarkMage461', 'Fawzi', 'Mintiendo']","https://na.op.gg/multi/query=jqh135,Rioklu,Samgee Gamwise,Gumbers,Thot Wrecker,junged,Frankeeeflip,DownDaBarrel,DarkMage461,Fawzi,","https://na.op.gg/multi/query=Mintiendo,"
KB Bullets,West 8,/lol/teams/6414,Iron 2,3,4,2,9,7,Bronze 3,6,"['Zene the Zilla', 'CoffeeSnob', 'AFs Spiritut', 'Sunofhuman', 'mycheww', 'FunkierRumble', 'weist and ankle', 'tjddnr2000', 'joe pepper']","https://na.op.gg/multi/query=Zene the Zilla,CoffeeSnob,AFs Spiritut,Sunofhuman,mycheww,FunkierRumble,weist and ankle,tjddnr2000,joe pepper,",https://na.op.gg/multi/query=
FPU League,North 1,/lol/teams/7607,Bronze 4,5,5,1,10,3,Bronze 2,7,"['AFKcat', 'BlueEyesKnight', 'Dranathos', 'FPU Myto', 'S Black Eye S', 'Lakalive', 'Aquatica']","https://na.op.gg/multi/query=AFKcat,BlueEyesKnight,Dranathos,FPU Myto,S Black Eye S,Lakalive,Aquatica,",https://na.op.gg/multi/query=
Zips Blue,Midwest 5,/lol/teams/7421,Silver 3,10,2,2,4,6,Gold 3,14,"['Ørîón', 'twncrier', 'StuckinWall', 'BrotherKingYugo', 'DaCheneySpecial', 'RubyDragonBorn15', 'Thinker519', 'Le Roi', 'TheHyruleFool', 'Weeaboolife', 'breakinbrad', 'joesh23']","https://na.op.gg/multi/query=Ørîón,twncrier,StuckinWall,BrotherKingYugo,DaCheneySpecial,RubyDragonBorn15,Thinker519,Le Roi,TheHyruleFool,Weeaboolife,","https://na.op.gg/multi/query=breakinbrad,joesh23,"
UNCo Blue,West 6,/lol/teams/3127,Bronze 1,8,5,2,10,4,Gold 3,14,"['theSp1re', 'BasiIGuy', '13337', 'Numbër', 'SH0WST0PPER', 'jazzmaster69', 'iPBJSammich', 'SpaceCowboyUwU', 'Nikolai4141', 'Bosch0']","https://na.op.gg/multi/query=theSp1re,BasiIGuy,13337,Numbër,SH0WST0PPER,jazzmaster69,iPBJSammich,SpaceCowboyUwU,Nikolai4141,Bosch0,",https://na.op.gg/multi/query=
Silver Smurfers,Midwest 2,/lol/teams/7374,Gold 3,14,1,5,2,10,Gold 3,14,['Thunyx'],"https://na.op.gg/multi/query=Thunyx,",https://na.op.gg/multi/query=
AUKSA,South 3,/lol/teams/7369,Iron 1,4,6,1,12,2,Bronze 4,5,"['Il Primo', 'kevoo7', 'daVich', 'I demote you', 'Mallalia', 'Eomhowoong', 'I Promote You']","https://na.op.gg/multi/query=Il Primo,kevoo7,daVich,I demote you,Mallalia,Eomhowoong,I Promote You,",https://na.op.gg/multi/query=
Cornell University B,East 8,/lol/teams/7076,Bronze 1,8,2,5,5,11,Bronze 1,8,"['sirhack3r', 'Lord Thames', 'balognaBandit', 'Munchkin2000', 'jamqwert']","https://na.op.gg/multi/query=sirhack3r,Lord Thames,balognaBandit,Munchkin2000,jamqwert,",https://na.op.gg/multi/query=
